Subject,Object
Aleksandrów Łódzki,Gmina Aleksandrów Łódzki
Altenburg,altenburg
Altenburg,altenburger land
Altenburg,sachsen-altenburg
Arovo,Arovsky
Asmara,colonia eritrea
Atlanta,ga
Barcelona,autonomous community of catalonia
Bardo,Gmina Bardo
Batumi,Adjar Autonomous Soviet Socialist Republic
Batumi,Adjara
Belgrade,belgrade district
Belgrade,people's republic of setrbia
Belgrade,republic of serbia
Belgrade,serbia and montenegro
Belgrade,sfr yugoslavia
Belgrade,yugoslavia
Berlin,brandenburg
Berlin,deutsches kaiserreich
Berlin,federal republic of germany
Berlin,free state of prussia
Berlin,german people's state
Berlin,german reich
Berlin,kingdom of prussia
Berlin,north german confederation
Berlin,prussia
Bern,be
Bern,confoederatio helvetica
Bierutów,Gmina Bierutów
Bolków,Gmina Bolków
Bollapalle,Bollapalle mandal
Bordeaux,france
Boston,6th state
Bristol,south west
Brno,brno region
Brno,brno-city district
Brno,brno-country district
Brno,jihovýchod
Brno,land of moravia
Brno,march of moravia
Brno,moravian-silesian country
Brno,south moravia
Buckingham,buckinghamshire
Buenos Aires,provincias unidas de sudamerica
Chabatovichy,Thebatovithky Selsovet
Conwy,bwrdeistref sirol conwy
Dobele,dobele municipality
Dobrich,dobrich-selska
Dortmund,ruhr department
Dowsk,Doŭsk Sieĺsaviet
Feldkirch,Feldkirch District
Franeker,franeker
Franeker,waadhoeke
Freiburg im Breisgau,baden
Freiburg im Breisgau,breisgau-hochschwarzwald
Fribourg,canton de fribourg
Fukuoka,chikuzen domain
Fukuoka,fukuoka area
Fukuoka,fukuoka prefecture
Fulda,fulda
Geneva,canton de geneve
Gmunden,gmunden district
Gothenburg,gothenburg municipality
Gothenburg,västra götaland county
Góra,Gmina Góra
Głogówek,Gmina Głogówek
Haeju,south hwanghae province
Hamhung,south hamgyong
Hämeenlinna,egentliga tavastland
Hämeenlinna,häme province
Illorsuit,Illorsuit Island
Indianapolis,hoosier state
Ipur,Ipur mandal
Jablonec nad Nisou,Jablonec nad Nisou District
Jeddah,jeddah governorate
Jerusalem,british mandate of palestine
Jerusalem,herodian kingdom of judea
Jerusalem,il
Jerusalem,Israel
Jerusalem,jerusalem
Jerusalem,jerusalem governorate
Jerusalem,jerusalem mutasarrifate
Jerusalem,judah
Jerusalem,kingdom of israel
Jerusalem,palestine
Kagoshima,kagoshima prefecture
Karlsruhe,grand duchy of baden
Karlsruhe,karlsruhe (district)
Karlsruhe,karlsruhe government region
Karlsruhe,margraviate of baden
Karlsruhe,margraviate of baden-durlach
Kańczuga,Gromada Kańczuga
Kenitra,gharb-chrarda-beni hssen
Kenitra,kenitra province
Kerman,Kerman Province
Khon Kaen,khon kaen
Khorramabad,Lorestan Province
Kiskunfélegyháza,individual constituency bács-kiskun county no. 5
Kiskunfélegyháza,kiskunfelegyhaza district
Kleve,kleve
Klosterneuburg,bezirk wien-umgebung
Kokkola,central ostrobothnia
Kraków,commonwealth of poland
Kraków,general government
Kraków,kraków voivodeship (1975–1998)
Kraków,lesser poland voivodeship
Krāslava,krāslava district
Krāslava,krāslava municipality
Kumamoto,kumamoto prefecture
Kęty,Gmina Kęty
La Paz,bolivia
La Paz,la paz department
Landeck,Landeck District
Leeds,city and borough of leeds
Leipzig,amtshauptmannschaft leipzig
Leipzig,bezirk leipzig
Leipzig,kreishauptmannschaft leipzig
Lelystad,flevoland
Liezen,liezen district
London,british realm
London,eng
London,england
London,g b
London,gb
London,great britain and ireland
Los Angeles,"county of los angeles, california"
Madrid,autonomous community of madrid
Madrid,kingdom of spain
Maidenhead,rbwm
Manila,commonwealth of the philippines
Manila,philippine islands
Mosul,nineveh governorate
Nakhon Pathom,nakhon pathom
Nekarikallu,Nekarikallu mandal
Neuchâtel,canton de neuchatel
Neuchâtel,district de neuchâtel
New York City,america
Nuzendla,Nuzendla mandal
Náchod,Náchod District
Ourense,orense province
Pekanbaru,riau
Petropavlovsk-Kamchatsky,kamchatka oblast
Petropavlovsk-Kamchatsky,kamchatka okrug
Petropavlovsk-Kamchatsky,petropavlovsk-kamchatsky urban okrug
Port Moresby,independent state of papua new guinea
Punta Arenas,magallanes province
Punta Arenas,magallanes region
Punta Arenas,punta arenas
Quimper,arrondissement of quimper
Quimper,canton of quimper-1
Quimper,canton of quimper-2
Quimper,canton of quimper-3
Quimper,finistere
Reutlingen,das tor zur schwäbischen-alb
Rimavská Sobota,rimavska sobota district
Rome,ancient roman civilization
Rome,church state
Rome,imperium romanum
Rome,italia
Rome,italian state
Rome,italy
Rome,metropolitan city of rome
Rome,province of rome
Rome,res publica
Rome,rome
Rustavi,Kvemo Kartli
Saint-Germain-en-Laye,arrondissement of saint-germain-en-laye
Saint-Luc-de-Vincennes,les chenaux
Salacgrīva,salacgrīva municipality
Salaspils,salaspils municipality
Salzburg,Salzburg
Santhamaguluru,santhamaguluru mandal
Schwaz,Schwaz District
Sinuiju,north pyongan province
Sochi,greater sochi
Sochi,sochi okrug
Sochi,sochi raion
Strasbourg,acal
Strasbourg,alsace
Strasbourg,arrondissement of strasbourg
Strasbourg,bas-rhin
Strasbourg,bezirk unterelsass
Strasbourg,eurometropolis of strasbourg
Strasbourg,european union
São Paulo,sp
Tamsweg,tamsweg district
Tel Aviv,tel aviv district
Thrissur,thrissavaperur
Tokyo,iapan
Torodi,torodi department
Trois-Rivières,mauricie
Trollhättan,trollhättan municipality
Trzebnica,Gmina Trzebnica
Valenciennes,arrondissement of valenciennes
Valenciennes,canton of valenciennes
Valenciennes,canton of valenciennes-est
Valenciennes,canton of valenciennes-nord
Valenciennes,canton of valenciennes-sud
Valletta,malta
Vienna,archduchy of austria
Vienna,austria
Vienna,austrian lands
Vienna,duchy of austria
Vienna,erste österreichische republik
Vienna,federal state of austria
Vienna,first reich
Vienna,german-austria
Vienna,habsburg empire
Vienna,hungary
Vienna,lower austria
Vienna,reichsgau wien
Wagga Wagga,city of wagga wagga
Warsaw,commonwealth of poland
Warsaw,communist poland
Warsaw,congress kingdom of poland
Warsaw,duchy of warsaw
Warsaw,ii rzeczpospolita
Warsaw,masovian voivodeship
Warsaw,poland
Warsaw,warsaw voivodeship
Warsaw,warszawa land
Winchester,city of winchester
Winchester,england
Winnipeg,ca-mb
Wonsan,kangwon
Wołów,Gmina Wołów
Wołów,Wołów County
Yekaterinburg,sverdlovsk oblast
Yekaterinburg,sverdlovsk okrug
Yekaterinburg,ural oblast
Yekaterinburg,yekaterinburg municipality
Yekaterinburg,yekaterinburgsky uyezd
Yellowknife,ca-nt
Zamboanga City,department of mindanao and sulu
Zamboanga City,moro province
Ózd,ozd district
