Subject,Object
Aalten,Aaltenaar
Albalat dels Sorells,albalatana
Albalat dels Sorells,albalatà
Albania,albana
Albania,Albanais
Albania,Albanaise
Albania,Albanec
Albania,Albanees
Albania,Albaner
Albania,Albanerin
Albania,Albanerinnen
Albania,albanesa
Albania,albanese
Albania,albanesi
Albania,albanez
Albania,albaneza
Albania,albaneze
Albania,albanezi
Albania,albanezo
Albania,albaneză
Albania,Albanian
Albania,Albaniano
Albania,Albanians
Albania,albanisch
Albania,Albanka
Albania,albanu
Albania,albanès
Albania,albán
Albania,Albánach
Albania,Lalbanänan
Albania,албанец
Albania,албанець
Albania,албанка
Albania,албанцы
Albania,албанці
Albania,אלבני
Albania,אלבנית
Albania,ألبان
Albania,ألباني
Albania,ألبانيات
Albania,ألبانية
Albania,ألبانيين
Albania,আলবেনীয়
Alberta,Albertain
Alberta,Albertaine
Alberta,Albertan
Alberta,Albertano
Alicante,alacantina
Alicante,Alicantin
Alicante,alicantina
Alicante,Alicantine
Alicante,alicantini
Alicante,alicantino
Alicante,alicantín
Alkmaar,Alkmaarder
Alt Empordà,alt-empordanesa
Alt Empordà,alt-empordaneses
Alt Empordà,alt-empordanesos
Alt Empordà,alt-empordanès
Alt Penedès,penedesenc
Alt Penedès,penedesenca
Alt Penedès,penedesencs
Alt Penedès,penedesenques
Anoia,anoienc
Anoia,anoienca
Anoia,anoiencs
Anoia,anoienques
Antarctica,Antarcticain
Antarctica,Antarcticaine
Antarctica,Antarctican
Antarctica,Antartach
Antarctica,Antartidanhon
Antarctica,Antartidanhën
Antarctica,Antartiko
Antarctica,Antartiku
Antarctica,antártica
Antarctica,antártico
Argentina,Airgintíneach
Argentina,argentin
Argentina,argentina
Argentina,argentinano
Argentina,Argentine
Argentina,Argentinean
Argentina,Argentinec
Argentina,argentiner
Argentina,argentini
Argentina,Argentinian
Argentina,argentiniancă
Argentina,argentinieni
Argentina,Argentinier
Argentina,Argentinierin
Argentina,Argentinka
Argentina,argentino
Argentina,argentí
Argentina,arjentina
Argentina,Arjentiniano
Argentina,arxentina
Argentina,arxentín
Argentina,arzentin
Argentina,arzentina
Argentina,arzentine
Argentina,arzentini
Argentina,Largäntänan
Argentina,Αργεντινή
Argentina,Αργεντινός
Argentina,аргентинец
Argentina,аргентинець
Argentina,аргентинка
