Subject,Object
A Wrinkle in Time,passes the Bechdel Test
Albania,partly free country
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",passes the Bechdel Test
Argentina,free country
Australia,free country
Austria,free country
Bangladesh,partly free country
Beauty and the Beast,passes the Bechdel Test
Beauty and the Beast,title for Spain
Bibliothèque nationale de France ID,VIAF component
Botswana,free country
BZFlag,free and open-source video game
Cameroon,not-free country
Captain America: The Winter Soldier,3-d film
Captain America: The Winter Soldier,passes the Bechdel Test
Captain America: The Winter Soldier,title for hispanic america
Captain America: The Winter Soldier,title for spain
Cars 3,3-d film
Central African Republic,not-free country
Chad,not-free country
Cinderella,passes the Bechdel Test
Cinderella,teaser trailer
Cinderella,title for Spain
Coin,coin grading
Coin,design of a banknote or a coin
Coin,face value
Coin,fineness
CONOR ID,VIAF component
Czech Republic,free country
DNA replication,dna replication proofreading
Federated States of Micronesia,free country
France,free country
Freeciv,free and open-source video game
Frozen Bubble,free and open-source video game
Fujifilm X-T2,dust proof
Fujifilm X-T2,water resistance
Ghana,free country
Homo sapiens,live birth
How to Train Your Dragon 2,3-d film
How to Train Your Dragon 2,film based on a novel
India,free country
Into the Woods,passes the Bechdel Test
Iraq,not-free country
Iron Man,fails the Bechdel Test
Israel,a jewish and democratic state
Israel,free country
Italy,free country
Japan,free country
Kazakhstan,not-free country
Kyrgyzstan,partly free country
Lesotho,partly free country
Libraries Australia ID,VIAF component
Library of Congress authority ID,prefix
Libya,not-free country
Long Gone Days,independent video game
Mali,partly free country
Marilyn Monroe,sex role model
Mauritius,free country
Montenegro,partly free country
Moon,magnetic field of the moon
Moon,moonquake
Morocco,partly free country
National Library of Israel ID,VIAF component
NCL ID,VIAF component
Netherlands,free country
New Zealand,free country
NKCR AUT ID,VIAF component
North Korea,not-free country
OpenTTD,free and open-source video game
OpenTTD,independent video game
Palau,free country
Paraguay,partly free country
Peru,free country
Philippines,partly free country
Poland,free country
Process,process type
Rise of the Triad,free and open-source video game
Romania,free country
Rotten Tomatoes ID,prefix
Saving Mr. Banks,passes the Bechdel Test
Saving Mr. Banks,title for Hispanic America
Saving Mr. Banks,title for Spain
Siemens,listed company
Slovakia,free country
Spain,free country
Sun Baked Snow Cave,collaboration album
Sweden,free country
Thailand,not-free country
The BFG,passes the Bechdel Test
The BFG,teaser trailer
The Binding of Isaac: Rebirth,independent video game
The Exorcist,film based on a novel
The Godfather,film based on a novel
The Godfather Part II,film based on a novel
The Incredible Hulk,fails the Bechdel Test
Tomorrowland,passes the Bechdel Test
Tremulous,free and open-source video game
Turkey,partly free country
Turkmenistan,not-free country
Uganda,not-free country
Ukraine,partly free country
United Kingdom,free country
Vatican Library ID,VIAF component
Vietnam,not-free country
Warzone 2100,free and open-source video game
Warzone 2100,independent video game
Wikidata,collaborating
Wikidata,curating
Wikidata,quaternary reference
Wikidata,secondary source
Wikidata,tertiary reference
Wikimedia project,free content
Zambia,partly free country
Zootopia,3-d film
Zootopia,title for spain
