Subject,Object
0,+0
0,00
1,0 to the 0
1,0.999...
1,01
1,legendre's constant
1997,11997 he
1997,1997
2,02
3,03
3,triad
7,07
Abraham,ibrahim
Aguirre,Agirre
Ares,Mars
Arsenal,armory
Arteche,Artetxe
Arthur,arcturus
Arthur,artair
Arthur,arthurus
Arthur,arto
Arthur,arttur
Arthur,artturi
Arthur,artur
Arthur,arturo
Arthur,arturus
Arthur,artus
Arthur,artūrs
Arthur,ats
Arthur,aurther
Beth March,Beth March
Boötes,arctophylax
C-sharp major,D-flat major
Charlotte Haze,Charlotte
China Standard Time,central indonesian time
D major,B minor
EMI,emi group limited
Enyo,Bellona
Enyo,ma
Enyo,the morrigan
Etxaide,Echaide
G-flat major,F-sharp major
G-sharp major,A-flat major
Ishmael,ishmael
Jacob,israel
Jacob,jacob in islam
Jacob,yakub
Jiménez,Giménez
Joaquín,achim
Joaquín,akim
Joaquín,gioacchino
Joaquín,ioachimus
Joaquín,joachim
Joaquín,joakim
Joaquín,joaquim
Joaquín,joaquin
Joaquín,jochem
Joaquín,jochen
Joaquín,jockel
Joaquín,jokin
Joaquín,jáchym
Joaquín,quim
Joaquín,xoaquín
Joaquín,xuacu
Klosterneuburg,klosterneuburg
Kosaka,kōsaka
L. L. Zamenhof,d-ro esperanto
Lacunza,Lakuntza
Lascurain,Laskurain
Linux,gnu plus linux
López,leu
López,llopis
López,lopez
López,Lupo
Mars,Budenicus
Mendizabal,Mendizábal
Midian,midian mountains
Munoz,Muñoz
Narita interchange,Narita smart interchange
Ogre,oni
Ossa,Otxoa
Quebec,laurentie
Queen Grimhilde,Queen
Segura,Segurola
Shrewsbury,shrewsbury
Smertrios,god mars
Smertrios,mars smertulitanus
Snegurochka,baby new year
Snegurochka,oyasu
Snegurochka,queen of snow
Tellechea,Telletxea
Thor,dias
Thor,diespiter
Thor,perun
Thor,taranis
Wikipedia:Vital articles,wikipedia:list of articles all languages should have
Zabaleta,Zavaleta
Zelaya,Celaya
